returnOnEquity,-0.03359,0.07711,0.60897,0.09473,0.23587,0.2796,0.15827,-0.057930004,0.1578,0.15898,0.096269995,0.13049,-0.23379,0.05441,0.39880002,0.02487,0.11108
revenueGrowth,-0.097,-0.073,0.371,0.12,0.769,1.518,0.089,-0.229,0.635,0.317,0.156,0.118,-0.293,0.206,0.086,0.029,0.241
revenuePerShare,52.227,139.474,4435.426,66.085,183.239,302.904,93.51,2.393,445.631,293.338,4.244,9.247,14.091,358.529,151.395,21.063,137.107
revenueQuarterlyGrowth,,,,,,,,,,,,,,,,,
sector,Financial Services,Financial Services,Industrials,Industrials,Healthcare,Utilities,Financial Services,Technology,Industrials,Industrials,Technology,Basic Materials,Industrials,Industrials,Consumer Defensive,Consumer Defensive,Healthcare
sharesOutstanding,850681024,64249900,7538330,622531968,65961600,420380992,27575400,25840000,57359700,545979008,5632300032,131602000,1009270016,56736200,535065984,1224930048,127750000
sharesPercentSharesOut,,,,,,,,,,,,,,,0.0097,0.0111,
sharesShort,,,,,,,,,,,,,,,5182140,13588066,
sharesShortPreviousMonthDate,,,,,,,,,,,,,,,1667174400,1667174400,
sharesShortPriorMonth,,,,,,,,,,,,,,,6547946,17123515,
shortName,Danske Bank A/S,Jyske Bank A/S,A.P. Møller - Mærsk B A/S,THYSSENKRUPP AG,Genmab A/S,ORSTED A/S,Ringkjøbing Landbobank A/S,ASETEK,DFDS A/S,Securitas AB ser. B,Nokia Corporation,Chr. Hansen Holding A/S,Vestas Wind Systems A/S,FLSmidth & Co. A/S,"Albertsons Companies, Inc.",The Kraft Heinz Company,GN Store Nord A/S
shortPercentOfFloat,,,,,,,,,,,,,,,0.0255,0.0195,
shortRatio,,,,,,,,,,,,,,,1.41,2.14,
startDate,,,,,,,,,,,,,,,,,
state,,,,,,,,,,,,,,,ID,PA,
strikePrice,,,,,,,,,,,,,,,,,
symbol,DANSKE.CO,JYSK.CO,MAERSK-B.CO,TKA.DE,GMAB.CO,ORSTED.CO,RILBA.CO,ASTK.OL,DFDS.CO,SECU-B.ST,NOKIA.HE,CHR.CO,VWS.CO,FLS.CO,ACI,KHC,GN.CO
targetHighPrice,212,610,26882,16,5300,1030,1120,,435,150,7,590.35,,350,42,49,515
targetLowPrice,113,415,13938.8,4,2150,505,830,,365,70,4.5,450.26,,110,21,36,115
targetMeanPrice,150.18,480,20832.7,8.43,3258.45,773.13,987.5,,396.67,96.44,5.79,519.37,,240,29.75,42.4,240.33
targetMedianPrice,149,460,20908.2,7.4,3150,800,1000,,390,88.65,5.8,528.23,,235,27.25,42,230
threeYearAverageReturn,,,,,,,,,,,,,,,,,
toCurrency,,,,,,,,,,,,,,,,,
totalAssets,,,,,,,,,,,,,,,,,
totalCash,920600969216,153447006208,8334000128,7648999936,23787999232,28220999680,4536783872,10995000,1452000000,5730999808,9543000064,82800000,1139000064,2271000064,3410400000,997000000,870000000
totalCashPerShare,1082.193,2388.243,464.322,12.287,364.682,67.165,167.273,0.467,25.348,15.719,1.704,0.629,1.129,40.027,6.374,0.814,6.799
totalDebt,1755687944192,460927008768,15523999744,3980999936,629000000,72806998016,9774239744,1772000,15674000384,59415998464,5693000192,963400000,2428000000,3270000128,14040599552,20235999232,16110999552
totalRevenue,44346998784,9251000320,82215002112,41139998720,11987000320,127263997952,2634168064,59261000,25457999872,123194998784,23875999744,1218000000,14254000128,20489000960,75341602816,25813000192,17517000704
tradeable,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
trailingAnnualDividendRate,7.5,0,381,0.15,0,12.5,7,0,4,4.4,0.08,0.95,0.05,3,0.48,1.6,1.55
trailingAnnualDividendYield,0.055025678,0,0.024660194,0.02601457,0,0.01978161,0.0075268815,0,0.016611295,0.05102041,0.018390805,0.0019118534,0.00025479004,0.012345679,0.022878932,0.03964321,0.010472973
trailingEps,13.1,42.67,11442.83,1.38,86.05,43.3,49.33,0.48,32.77,8.44,0.3,12.75,-3.889,11.21,2.89,0.98,5.23
trailingPE,10.492366,10.595266,1.3890795,4.2391305,34.95642,14.411086,18.93371,25.791668,7.506866,10.258294,14.545,39.058823,,22.292595,7.311418,41.34694,29.18738
trailingPegRatio,2.198,,,,1.1247,6.0594,,,,,8.3301,3.6236,2.2106,,1.4441,2.912,1.2433
twoHundredDayAverage,109.5168,389.171,17636.176,6.24265,2596.8325,727.683,827.685,20.0175,249.4445,94.775925,4.71839,469.293,174.68526,192.2445,27.33655,38.32415,221.26
volume,973524,75214,15884,1644592,51205,162136,18103,52621,54310,1062915,4274378,150315,979429,239114,1420328,4947828,639039
volume24Hr,,,,,,,,,,,,,,,,,
volumeAllCurrencies,,,,,,,,,,,,,,,,,
website,https://www.danskebank.com,https://www.jyskebank.dk,https://www.maersk.com,https://www.thyssenkrupp.com,https://www.genmab.com,https://www.orsted.com,https://www.landbobanken.dk,https://asetek.com,https://www.dfds.com,https://www.securitas.com,https://www.nokia.com,https://www.chr-hansen.com,https://www.vestas.com,https://www.flsmidth.com,https://www.albertsonscompanies.com,https://www.kraftheinzcompany.com,https://www.gn.com
yield,,,,,,,,,,,,,,,,,
ytdReturn,,,,,,,,,,,,,,,,,
zip,1092,8600,1098,45143,1560,7000,6950,9220,2100,102 28,02610,2970,8200,2500,83706,15222,2750
